#;Date-Time (CEST);Temperature   (°C);RH   (%);Dew Point   (°C);Started;Host Connected;End of File;LogID
42;04/14/2025 21:15:00;10,45;69,31;5,09;;;;7
43;04/14/2025 21:30:00;10,15;69,59;4,85;;;;7
44;04/14/2025 21:45:00;9,93;69,83;4,69;;;;7
45;04/14/2025 22:00:00;9,54;70,5;4,45;;;;7
46;04/14/2025 22:15:00;9,55;70,75;4,51;;;;7
47;04/14/2025 22:30:00;10,19;69,98;4,97;;;;7
48;04/14/2025 22:45:00;10,18;70,05;4,97;;;;7
49;04/14/2025 23:00:00;10,09;70,3;4,94;;;;7
50;04/14/2025 23:15:00;9,8;70,79;4,76;;;;7
51;04/14/2025 23:30:00;9,41;71,42;4,52;;;;7
52;04/14/2025 23:45:00;9,19;72,52;4,52;;;;7
53;04/15/2025 00:00:00;8,93;73,01;4,37;;;;7
54;04/15/2025 00:15:00;8,9;73,94;4,52;;;;7
55;04/15/2025 00:30:00;9,07;73,39;4,57;;;;7
56;04/15/2025 00:45:00;9,05;73,46;4,57;;;;7
57;04/15/2025 01:00:00;9,26;72,84;4,65;;;;7
58;04/15/2025 01:15:00;9,51;72,18;4,76;;;;7
59;04/15/2025 01:30:00;9,76;71,48;4,86;;;;7
60;04/15/2025 01:45:00;9,79;71,05;4,8;;;;7
61;04/15/2025 02:00:00;9,68;71,13;4,71;;;;7
62;04/15/2025 02:15:00;9,68;70,96;4,68;;;;7
63;04/15/2025 02:30:00;9,48;71,03;4,5;;;;7
64;04/15/2025 02:45:00;9,34;70,99;4,36;;;;7
65;04/15/2025 03:00:00;9,07;71,51;4,2;;;;7
66;04/15/2025 03:15:00;8,96;72,08;4,21;;;;7
67;04/15/2025 03:30:00;8,89;72,3;4,18;;;;7
68;04/15/2025 03:45:00;8,86;72,72;4,24;;;;7
69;04/15/2025 04:00:00;8,76;72,81;4,16;;;;7
70;04/15/2025 04:15:00;8,7;73,36;4,21;;;;7
71;04/15/2025 04:30:00;8,82;73,32;4,32;;;;7
72;04/15/2025 04:45:00;9,18;71,98;4,4;;;;7
73;04/15/2025 05:00:00;9,1;72,08;4,35;;;;7
74;04/15/2025 05:15:00;9,33;71,16;4,38;;;;7
75;04/15/2025 05:30:00;9,51;70,56;4,44;;;;7
76;04/15/2025 05:45:00;9,97;69,57;4,68;;;;7
77;04/15/2025 06:00:00;10,09;69,37;4,75;;;;7
78;04/15/2025 06:15:00;10,11;69,18;4,73;;;;7
79;04/15/2025 06:30:00;10,35;68,6;4,83;;;;7
80;04/15/2025 06:45:00;10,45;68,86;4,99;;;;7
81;04/15/2025 07:00:00;10,75;68,97;5,3;;;;7
82;04/15/2025 07:15:00;10,97;69,79;5,68;;;;7
83;04/15/2025 07:30:00;11,29;70;6,03;;;;7
84;04/15/2025 07:45:00;11,79;69,2;6,35;;;;7
85;04/15/2025 08:00:00;12,21;69,47;6,8;;;;7
86;04/15/2025 08:15:00;12,42;69,62;7,03;;;;7
87;04/15/2025 08:30:00;13,08;68,72;7,48;;;;7
88;04/15/2025 08:45:00;13,7;68,34;7,99;;;;7
89;04/15/2025 09:00:00;13,69;68,84;8,09;;;;7
90;04/15/2025 09:15:00;13,98;69,04;8,41;;;;7
91;04/15/2025 09:30:00;14,65;68,52;8,94;;;;7
92;04/15/2025 09:45:00;14,79;68,4;9,04;;;;7
93;04/15/2025 10:00:00;14,84;68,67;9,15;;;;7
94;04/15/2025 10:15:00;15,29;68,51;9,55;;;;7
95;04/15/2025 10:30:00;15,62;68,03;9,76;;;;7
96;04/15/2025 10:45:00;16,17;67,07;10,07;;;;7
97;04/15/2025 11:00:00;16,6;67,28;10,53;;;;7
98;04/15/2025 11:15:00;17,51;65,93;11,09;;;;7
99;04/15/2025 11:30:00;18,26;64,89;11,56;;;;7
100;04/15/2025 11:45:00;18,32;64,7;11,57;;;;7
101;04/15/2025 12:00:00;18,64;64,56;11,84;;;;7
102;04/15/2025 12:15:00;18,92;64,82;12,17;;;;7
103;04/15/2025 12:30:00;19,6;62,6;12,29;;;;7
104;04/15/2025 12:45:00;20,16;62,41;12,77;;;;7
105;04/15/2025 13:00:00;20,26;61,4;12,61;;;;7
106;04/15/2025 13:15:00;20,6;60,57;12,73;;;;7
107;04/15/2025 13:30:00;21,1;59,15;12,84;;;;7
108;04/15/2025 13:45:00;21,47;59,41;13,25;;;;7
109;04/15/2025 14:00:00;21,87;57,33;13,07;;;;7
110;04/15/2025 14:15:00;22,08;56,69;13,1;;;;7
111;04/15/2025 14:30:00;22,24;55,77;13;;;;7
112;04/15/2025 14:45:00;22,4;54,9;12,91;;;;7
113;04/15/2025 15:00:00;22,78;54,74;13,21;;;;7
114;04/15/2025 15:15:00;22,82;52,46;12,6;;;;7
115;04/15/2025 15:30:00;22,67;54,77;13,12;;;;7
116;04/15/2025 15:45:00;22,73;51,72;12,31;;;;7
117;04/15/2025 16:00:00;23,03;48,87;11,72;;;;7
118;04/15/2025 16:15:00;22,27;50,01;11,37;;;;7
119;04/15/2025 16:30:00;22,05;49,78;11,1;;;;7
120;04/15/2025 16:45:00;21,81;52;11,54;;;;7
121;04/15/2025 17:00:00;21,6;53,48;11,76;;;;7
122;04/15/2025 17:15:00;21,75;48,58;10,45;;;;7
123;04/15/2025 17:30:00;21,6;48,84;10,39;;;;7
124;04/15/2025 17:45:00;21,45;49,07;10,33;;;;7
125;04/15/2025 18:00:00;21,31;50,15;10,53;;;;7
126;04/15/2025 18:15:00;21,31;48,84;10,13;;;;7
127;04/15/2025 18:30:00;21,15;49,23;10,1;;;;7
128;04/15/2025 18:45:00;21,01;49,1;9,94;;;;7
129;04/15/2025 19:00:00;20,75;50,64;10,16;;;;7
130;04/15/2025 19:15:00;20,32;52,2;10,22;;;;7
131;04/15/2025 19:30:00;20,18;53,24;10,38;;;;7
132;04/15/2025 19:45:00;19,89;55,06;10,62;;;;7
133;04/15/2025 20:00:00;19,71;55,89;10,67;;;;7
134;04/15/2025 20:15:00;19,39;57,68;10,85;;;;7
135;04/15/2025 20:30:00;19,15;58,76;10,91;;;;7
136;04/15/2025 20:45:00;18,97;59,56;10,94;;;;7
137;04/15/2025 21:00:00;18,7;60,88;11,02;;;;7
138;04/15/2025 21:15:00;18,42;62,2;11,08;;;;7
139;04/15/2025 21:30:00;18,15;63,25;11,08;;;;7
140;04/15/2025 21:45:00;17,77;64,35;10,97;;;;7
141;04/15/2025 22:00:00;17,48;65,02;10,85;;;;7
142;04/15/2025 22:15:00;16,91;65,95;10,52;;;;7
143;04/15/2025 22:30:00;16,47;66,59;10,25;;;;7
144;04/15/2025 22:45:00;16,31;66,86;10,16;;;;7
145;04/15/2025 23:00:00;16,06;67,21;10;;;;7
146;04/15/2025 23:15:00;15,57;68,1;9,72;;;;7
147;04/15/2025 23:30:00;15,32;68,86;9,65;;;;7
148;04/15/2025 23:45:00;15,47;68,9;9,81;;;;7
149;04/16/2025 00:00:00;15,71;68,68;9,98;;;;7
150;04/16/2025 00:15:00;15,73;68,84;10,04;;;;7
151;04/16/2025 00:30:00;15,69;68,76;9,98;;;;7
152;04/16/2025 00:45:00;15,52;69,03;9,88;;;;7
153;04/16/2025 01:00:00;15,37;69,53;9,84;;;;7
154;04/16/2025 01:15:00;14,89;70,21;9,53;;;;7
155;04/16/2025 01:30:00;14,58;71,35;9,47;;;;7
156;04/16/2025 01:45:00;14,2;72,22;9,28;;;;7
157;04/16/2025 02:00:00;13,84;73,23;9,15;;;;7
158;04/16/2025 02:15:00;13,3;73,97;8,77;;;;7
159;04/16/2025 02:30:00;12,6;75,9;8,47;;;;7
160;04/16/2025 02:45:00;12,27;76,68;8,3;;;;7
161;04/16/2025 03:00:00;11,9;77,99;8,2;;;;7
162;04/16/2025 03:15:00;11,63;78,4;8,02;;;;7
163;04/16/2025 03:30:00;11,34;80,58;8,14;;;;7
164;04/16/2025 03:45:00;11,39;80,93;8,24;;;;7
165;04/16/2025 04:00:00;11,45;81,43;8,4;;;;7
166;04/16/2025 04:15:00;11,92;81,27;8,83;;;;7
167;04/16/2025 04:30:00;11,99;80,43;8,74;;;;7
168;04/16/2025 04:45:00;12,05;80,13;8,74;;;;7
169;04/16/2025 05:00:00;11,9;81,05;8,77;;;;7
170;04/16/2025 05:15:00;12,17;81,32;9,08;;;;7
171;04/16/2025 05:30:00;12,43;81,52;9,37;;;;7
172;04/16/2025 05:45:00;12,58;80,95;9,41;;;;7
173;04/16/2025 06:00:00;12,61;80,24;9,31;;;;7
174;04/16/2025 06:15:00;12,48;80,61;9,25;;;;7
175;04/16/2025 06:30:00;12,38;80,66;9,17;;;;7
176;04/16/2025 06:45:00;11,94;80,97;8,8;;;;7
177;04/16/2025 07:00:00;11,75;82,42;8,87;;;;7
178;04/16/2025 07:15:00;11,68;82,72;8,85;;;;7
179;04/16/2025 07:30:00;11,85;83,52;9,16;;;;7
180;04/16/2025 07:45:00;12,93;82,03;9,95;;;;7
181;04/16/2025 08:00:00;13,61;78,97;10,04;;;;7
182;04/16/2025 08:15:00;13,98;78,21;10,26;;;;7
183;04/16/2025 08:30:00;14,57;76,91;10,59;;;;7
184;04/16/2025 08:45:00;15,12;74,91;10,72;;;;7
185;04/16/2025 09:00:00;15,78;73,59;11,09;;;;7
186;04/16/2025 09:15:00;16,15;72,05;11,12;;;;7
187;04/16/2025 09:30:00;16,48;72,51;11,54;;;;7
188;04/16/2025 09:45:00;17;68,57;11,19;;;;7
189;04/16/2025 10:00:00;17,33;67,67;11,31;;;;7
190;04/16/2025 10:15:00;18,03;67,35;11,9;;;;7
191;04/16/2025 10:30:00;18,56;65,05;11,89;;;;7
192;04/16/2025 10:45:00;18,54;62,04;11,15;;;;7
193;04/16/2025 11:00:00;17,98;65,07;11,34;;;;7
194;04/16/2025 11:15:00;18,34;62,91;11,17;;;;7
195;04/16/2025 11:30:00;18,46;61,96;11,05;;;;7
196;04/16/2025 11:45:00;18,57;63,13;11,44;;;;7
197;04/16/2025 12:00:00;19,26;62,91;12,04;;;;7
198;04/16/2025 12:15:00;19,1;62,58;11,81;;;;7
199;04/16/2025 12:30:00;19;60,73;11,26;;;;7
200;04/16/2025 12:45:00;18,89;61,32;11,31;;;;7
201;04/16/2025 13:00:00;19,05;64,88;12,3;;;;7
202;04/16/2025 13:15:00;19,56;59,62;11,51;;;;7
203;04/16/2025 13:30:00;19,69;58,4;11,32;;;;7
204;04/16/2025 13:45:00;20,36;56,63;11,48;;;;7
205;04/16/2025 14:00:00;20,43;54,87;11,07;;;;7
206;04/16/2025 14:15:00;20,84;55,97;11,75;;;;7
207;04/16/2025 14:30:00;19,83;58,95;11,59;;;;7
208;04/16/2025 14:45:00;20,36;58,42;11,95;;;;7
209;04/16/2025 15:00:00;20,03;58,89;11,76;;;;7
210;04/16/2025 15:15:00;20,27;58,06;11,77;;;;7
211;04/16/2025 15:30:00;20,86;56,43;11,89;;;;7
212;04/16/2025 15:45:00;20,22;56,96;11,44;;;;7
213;04/16/2025 16:00:00;20,56;57,24;11,83;;;;7
214;04/16/2025 16:15:00;20,76;56,24;11,75;;;;7
215;04/16/2025 16:30:00;20,81;55,32;11,55;;;;7
216;04/16/2025 16:45:00;20,14;56,71;11,29;;;;7
217;04/16/2025 17:00:00;20,41;58,23;11,95;;;;7
218;04/16/2025 17:15:00;20,79;55,32;11,53;;;;7
219;04/16/2025 17:30:00;20,79;56,76;11,92;;;;7
220;04/16/2025 17:45:00;20,58;56,04;11,53;;;;7
221;04/16/2025 18:00:00;20,57;56,13;11,54;;;;7
222;04/16/2025 18:15:00;20,43;56,28;11,45;;;;7
223;04/16/2025 18:30:00;20,27;56,36;11,32;;;;7
224;04/16/2025 18:45:00;20,18;56,41;11,25;;;;7
225;04/16/2025 19:00:00;19,86;57,46;11,23;;;;7
226;04/16/2025 19:15:00;19,39;61,11;11,72;;;;7
227;04/16/2025 19:30:00;19,06;63,13;11,9;;;;7
228;04/16/2025 19:45:00;18,71;64,48;11,89;;;;7
229;04/16/2025 20:00:00;18,28;65,94;11,83;;;;7
230;04/16/2025 20:15:00;17,82;67,41;11,72;;;;7
231;04/16/2025 20:30:00;17,34;69,04;11,62;;;;7
232;04/16/2025 20:45:00;16,91;70,16;11,45;;;;7
233;04/16/2025 21:00:00;16,62;71,12;11,38;;;;7
234;04/16/2025 21:15:00;16,3;72,32;11,33;;;;7
235;04/16/2025 21:30:00;16,33;71,47;11,18;;;;7
236;04/16/2025 21:45:00;16,18;71,09;10,95;;;;7
237;04/16/2025 22:00:00;16,03;70,91;10,77;;;;7
238;04/16/2025 22:15:00;15,73;71,18;10,54;;;;7
239;04/16/2025 22:30:00;15,41;72,01;10,41;;;;7
240;04/16/2025 22:45:00;15,32;72,35;10,39;;;;7
241;04/16/2025 23:00:00;15,22;72,14;10,25;;;;7
242;04/16/2025 23:15:00;14,96;72,9;10,16;;;;7
243;04/16/2025 23:30:00;14,82;73,41;10,13;;;;7
244;04/16/2025 23:45:00;14,73;73,45;10,05;;;;7
245;04/17/2025 00:00:00;14,5;74,46;10,03;;;;7
246;04/17/2025 00:15:00;14,62;74,35;10,12;;;;7
247;04/17/2025 00:30:00;14,75;73,79;10,14;;;;7
248;04/17/2025 00:45:00;14,7;73,72;10,07;;;;7
249;04/17/2025 01:00:00;14,56;73,92;9,98;;;;7
250;04/17/2025 01:15:00;14,52;73,98;9,95;;;;7
251;04/17/2025 01:30:00;14,51;73,77;9,9;;;;7
252;04/17/2025 01:45:00;14,75;72,75;9,93;;;;7
253;04/17/2025 02:00:00;14,89;71,89;9,88;;;;7
254;04/17/2025 02:15:00;14,99;71,39;9,87;;;;7
255;04/17/2025 02:30:00;14,84;71,29;9,71;;;;7
256;04/17/2025 02:45:00;14,67;71,8;9,65;;;;7
257;04/17/2025 03:00:00;14,72;71,68;9,68;;;;7
258;04/17/2025 03:15:00;14,8;71,42;9,69;;;;7
259;04/17/2025 03:30:00;14,73;71,65;9,68;;;;7
260;04/17/2025 03:45:00;14,48;72,55;9,62;;;;7
261;04/17/2025 04:00:00;14,24;73,58;9,6;;;;7
262;04/17/2025 04:15:00;14,12;74,12;9,6;;;;7
263;04/17/2025 04:30:00;14;74,55;9,57;;;;7
264;04/17/2025 04:45:00;13,82;75,15;9,51;;;;7
265;04/17/2025 05:00:00;13,6;75,77;9,42;;;;7
266;04/17/2025 05:15:00;13,31;76,56;9,29;;;;7
267;04/17/2025 05:30:00;13,26;77,07;9,35;;;;7
268;04/17/2025 05:45:00;13,11;77,17;9,22;;;;7
269;04/17/2025 06:00:00;12,88;78,13;9,17;;;;7
270;04/17/2025 06:15:00;12,79;78,12;9,09;;;;7
271;04/17/2025 06:30:00;12,44;78,67;8,85;;;;7
272;04/17/2025 06:45:00;12,17;79,77;8,79;;;;7
273;04/17/2025 07:00:00;12,27;80,55;9,03;;;;7
274;04/17/2025 07:15:00;12,74;79,44;9,29;;;;7
275;04/17/2025 07:30:00;13,14;77,93;9,39;;;;7
276;04/17/2025 07:45:00;13,43;77,23;9,53;;;;7
277;04/17/2025 08:00:00;13,46;76,82;9,49;;;;7
278;04/17/2025 08:15:00;13,82;76,93;9,86;;;;7
279;04/17/2025 08:30:00;14,52;74,92;10,14;;;;7
280;04/17/2025 08:45:00;15,23;73,02;10,44;;;;7
281;04/17/2025 09:00:00;16,28;70,26;10,87;;;;7
282;04/17/2025 09:15:00;16,71;67,87;10,76;;;;7
283;04/17/2025 09:30:00;17,15;67,32;11,06;;;;7
284;04/17/2025 09:45:00;17,62;66,41;11,3;;;;7
285;04/17/2025 10:00:00;18,09;66,52;11,78;;;;7
286;04/17/2025 10:15:00;18,41;63,99;11,5;;;;7
287;04/17/2025 10:30:00;19,27;61,77;11,77;;;;7
288;04/17/2025 10:45:00;19,8;60,95;12,06;;;;7
289;04/17/2025 11:00:00;20,29;59,13;12,07;;;;7
290;04/17/2025 11:15:00;20,5;57,48;11,84;;;;7
291;04/17/2025 11:30:00;20,84;57,54;12,17;;;;7
292;04/17/2025 11:45:00;21,31;56,91;12,44;;;;7
293;04/17/2025 12:00:00;21,65;55,35;12,34;;;;7
294;04/17/2025 12:15:00;22,04;51,31;11,54;;;;7
295;04/17/2025 12:30:00;22,62;53,13;12,61;;;;7
296;04/17/2025 12:45:00;22,84;49,78;11,83;;;;7
297;04/17/2025 13:00:00;22,91;51,3;12,34;;;;7
298;04/17/2025 13:15:00;23,22;50,38;12,35;;;;7
299;04/17/2025 13:30:00;23,2;50,62;12,4;;;;7
300;04/17/2025 13:45:00;23,21;50,07;12,25;;;;7
301;04/17/2025 14:00:00;23,4;48,95;12,08;;;;7
302;04/17/2025 14:15:00;23,43;48,88;12,09;;;;7
303;04/17/2025 14:30:00;23,57;51,45;13;;;;7
304;04/17/2025 14:45:00;24,08;48,39;12,52;;;;7
305;04/17/2025 15:00:00;22,62;51,7;12,19;;;;7
306;04/17/2025 15:15:00;19,44;58,35;11,07;;;;7
307;04/17/2025 15:30:00;18,35;62,14;10,99;;;;7
308;04/17/2025 15:45:00;17,5;62,41;10,26;;;;7
309;04/17/2025 16:00:00;16,34;66,08;10,01;;;;7
310;04/17/2025 16:15:00;15,69;66,47;9,48;;;;7
311;04/17/2025 16:30:00;14,91;68,56;9,19;;;;7
312;04/17/2025 16:45:00;14,39;70;9;;;;7
313;04/17/2025 17:00:00;13,82;71,01;8,67;;;;7
314;04/17/2025 17:15:00;12,94;72,14;8,06;;;;7
315;04/17/2025 17:30:00;12,4;74,41;7,99;;;;7
316;04/17/2025 17:45:00;12,55;74,07;8,06;;;;7
317;04/17/2025 18:00:00;12,79;74,23;8,33;;;;7
318;04/17/2025 18:15:00;12,97;74,39;8,54;;;;7
319;04/17/2025 18:30:00;13,16;75,11;8,86;;;;7
320;04/17/2025 18:45:00;13,24;75,37;9;;;;7
321;04/17/2025 19:00:00;12,97;75,67;8,79;;;;7
322;04/17/2025 19:15:00;12,56;77,11;8,67;;;;7
323;04/17/2025 19:30:00;12,28;78,56;8,67;;;;7
324;04/17/2025 19:45:00;12,04;78,35;8,4;;;;7
325;04/17/2025 20:00:00;11,61;80,62;8,41;;;;7
326;04/17/2025 20:15:00;11,26;82,17;8,34;;;;7
327;04/17/2025 20:30:00;11,17;82,94;8,39;;;;7
328;04/17/2025 20:45:00;11,09;83,37;8,39;;;;7
329;04/17/2025 21:00:00;11,05;83,84;8,44;;;;7
330;04/17/2025 21:15:00;10,85;84,32;8,32;;;;7
331;04/17/2025 21:30:00;10,66;85,07;8,26;;;;7
332;04/17/2025 21:45:00;10,56;85,62;8,26;;;;7
333;04/17/2025 22:00:00;10,34;86,34;8,17;;;;7
334;04/17/2025 22:15:00;10,16;86,67;8,05;;;;7
335;04/17/2025 22:30:00;10;87,03;7,96;;;;7
336;04/17/2025 22:45:00;9,97;87,33;7,97;;;;7
337;04/17/2025 23:00:00;9,95;87,61;8;;;;7
338;04/17/2025 23:15:00;10,01;87,76;8,09;;;;7
339;04/17/2025 23:30:00;10,05;87,75;8,12;;;;7
340;04/17/2025 23:45:00;9,98;87,66;8,04;;;;7
341;04/18/2025 00:00:00;9,93;87,63;7,98;;;;7
342;04/18/2025 00:15:00;9,99;87,12;7,96;;;;7
343;04/18/2025 00:30:00;9,88;86,72;7,78;;;;7
344;04/18/2025 00:45:00;9,78;87,58;7,83;;;;7
345;04/18/2025 01:00:00;9,91;88,26;8,07;;;;7
346;04/18/2025 01:15:00;9,92;88,48;8,11;;;;7
347;04/18/2025 01:30:00;9,82;88,56;8,03;;;;7
348;04/18/2025 01:45:00;9,76;88,71;7,99;;;;7
349;04/18/2025 02:00:00;9,76;88,85;8,02;;;;7
350;04/18/2025 02:15:00;9,83;88,96;8,11;;;;7
351;04/18/2025 02:30:00;9,89;89,03;8,17;;;;7
352;04/18/2025 02:45:00;9,95;89,17;8,26;;;;7
353;04/18/2025 03:00:00;10,01;89,21;8,33;;;;7
354;04/18/2025 03:15:00;9,97;89,18;8,28;;;;7
355;04/18/2025 03:30:00;9,54;88,73;7,78;;;;7
356;04/18/2025 03:45:00;9,26;87,62;7,33;;;;7
357;04/18/2025 04:00:00;9,14;86,67;7,04;;;;7
358;04/18/2025 04:15:00;9,08;86,56;6,97;;;;7
359;04/18/2025 04:30:00;9,18;87,12;7,16;;;;7
360;04/18/2025 04:45:00;9,3;87,61;7,36;;;;7
361;04/18/2025 05:00:00;9,44;88,14;7,58;;;;7
362;04/18/2025 05:15:00;9,52;88,58;7,74;;;;7
363;04/18/2025 05:30:00;9,74;89;8,02;;;;7
364;04/18/2025 05:45:00;9,84;89,13;8,15;;;;7
365;04/18/2025 06:00:00;9,91;89,26;8,23;;;;7
366;04/18/2025 06:15:00;9,93;89,31;8,26;;;;7
367;04/18/2025 06:30:00;9,83;89,36;8,18;;;;7
368;04/18/2025 06:45:00;9,86;89,42;8,22;;;;7
369;04/18/2025 07:00:00;9,85;89,47;8,21;;;;7
370;04/18/2025 07:15:00;9,7;89,45;8,06;;;;7
371;04/18/2025 07:30:00;9,77;89,53;8,14;;;;7
372;04/18/2025 07:45:00;9,76;89,58;8,14;;;;7
373;04/18/2025 08:00:00;9,75;89,6;8,13;;;;7
374;04/18/2025 08:15:00;9,8;89,69;8,2;;;;7
375;04/18/2025 08:30:00;9,84;89,71;8,24;;;;7
376;04/18/2025 08:45:00;9,89;89,72;8,29;;;;7
377;04/18/2025 09:00:00;9,75;89,64;8,14;;;;7
378;04/18/2025 09:15:00;9,49;89,43;7,85;;;;7
379;04/18/2025 09:30:00;9,49;89,35;7,83;;;;7
380;04/18/2025 09:45:00;9,51;89,29;7,85;;;;7
381;04/18/2025 10:00:00;9,54;89,2;7,86;;;;7
382;04/18/2025 10:15:00;9,52;89,01;7,81;;;;7
383;04/18/2025 10:30:00;9,54;88,98;7,83;;;;7
384;04/18/2025 10:45:00;9,64;88,99;7,92;;;;7
385;04/18/2025 11:00:00;9,74;88,9;8;;;;7
386;04/18/2025 11:15:00;9,88;88,82;8,13;;;;7
387;04/18/2025 11:30:00;9,8;88,59;8,02;;;;7
388;04/18/2025 11:45:00;9,86;88,48;8,06;;;;7
389;04/18/2025 12:00:00;9,86;88,52;8,07;;;;7
390;04/18/2025 12:15:00;9,91;88,42;8,09;;;;7
391;04/18/2025 12:30:00;10,04;88,67;8,26;;;;7
392;04/18/2025 12:45:00;9,92;88,28;8,08;;;;7
393;04/18/2025 13:00:00;9,89;88,32;8,06;;;;7
394;04/18/2025 13:15:00;9,81;88,21;7,96;;;;7
395;04/18/2025 13:30:00;9,7;88,12;7,84;;;;7
396;04/18/2025 13:45:00;9,62;87,99;7,74;;;;7
397;04/18/2025 14:00:00;9,54;87,84;7,64;;;;7
398;04/18/2025 14:15:00;9,46;87,7;7,53;;;;7
399;04/18/2025 14:30:00;9,35;87,76;7,43;;;;7
400;04/18/2025 14:45:00;9,23;87,45;7,26;;;;7
401;04/18/2025 15:00:00;8,97;86,89;6,92;;;;7
402;04/18/2025 15:15:00;8,9;87,02;6,87;;;;7
403;04/18/2025 15:30:00;8,98;86,35;6,84;;;;7
404;04/18/2025 15:45:00;9,35;85,15;6,99;;;;7
405;04/18/2025 16:00:00;9,41;83,25;6,73;;;;7
406;04/18/2025 16:15:00;9,57;82,94;6,83;;;;7
407;04/18/2025 16:30:00;9,86;81,71;6,9;;;;7
408;04/18/2025 16:45:00;9,81;80,2;6,57;;;;7
409;04/18/2025 17:00:00;9,71;78,93;6,25;;;;7
410;04/18/2025 17:15:00;9,65;78,51;6,11;;;;7
411;04/18/2025 17:30:00;9,62;78,08;6;;;;7
412;04/18/2025 17:45:00;9,45;78,29;5,87;;;;7
413;04/18/2025 18:00:00;9,32;78,42;5,77;;;;7
414;04/18/2025 18:15:00;9,19;78,59;5,67;;;;7
415;04/18/2025 18:30:00;9,11;78,88;5,65;;;;7
416;04/18/2025 18:45:00;9,06;78,98;5,62;;;;7
417;04/18/2025 19:00:00;9;78,85;5,53;;;;7
418;04/18/2025 19:15:00;9,01;78,28;5,44;;;;7
419;04/18/2025 19:30:00;9,02;78,71;5,53;;;;7
420;04/18/2025 19:45:00;9,02;79,17;5,61;;;;7
421;04/18/2025 20:00:00;8,93;79,26;5,54;;;;7
422;04/18/2025 20:15:00;8,89;79,03;5,46;;;;7
423;04/18/2025 20:30:00;8,87;79,49;5,52;;;;7
424;04/18/2025 20:45:00;8,83;80,12;5,6;;;;7
425;04/18/2025 21:00:00;8,82;80,63;5,69;;;;7
426;04/18/2025 21:15:00;8,78;80,74;5,66;;;;7
427;04/18/2025 21:30:00;8,79;81,06;5,73;;;;7
428;04/18/2025 21:45:00;8,8;80,7;5,68;;;;7
429;04/18/2025 22:00:00;8,78;80,51;5,62;;;;7
430;04/18/2025 22:15:00;8,75;80,46;5,58;;;;7
431;04/18/2025 22:30:00;8,71;81,63;5,75;;;;7
432;04/18/2025 22:45:00;8,66;82,51;5,86;;;;7
433;04/18/2025 23:00:00;8,65;83,06;5,95;;;;7
434;04/18/2025 23:15:00;8,63;82,97;5,91;;;;7
435;04/18/2025 23:30:00;8,64;82,54;5,85;;;;7
